gene_id,gene_symbol,GSM9181254,GSM9181255,GSM9181256,GSM9181257,GSM9181258,GSM9181259,GSM9181260,GSM9181261,GSM9181262,GSM9181263,GSM9181264,GSM9181265,GSM9181266,GSM9181267,GSM9181268,GSM9181269,GSM9181270,GSM9181271
ENSG00000000003,TSPAN6,1074.94,1071.348,776.865,1091.452,1559.951,1987.702,570.053,446.745,860.848,786.281,783.767,756.772,796.337,1800.27,1504.435,1853.176,1150.581,2055.613
ENSG00000000005,TNMD,22.0,26.0,27.0,23.0,33.001,124.0,5.0,5.0,5.0,5.0,2.0,2.0,14.0,21.0,35.0,1.0,0.0,1.0
ENSG00000000419,DPM1,753.613,791.518,703.999,789.009,1051.696,1413.341,545.0,362.0,861.964,880.258,832.255,819.001,680.003,1385.0,1199.313,1516.267,1010.135,1722.834
ENSG00000000457,SCYL3,342.324,347.253,296.457,299.524,433.444,588.638,276.143,202.545,415.006,301.45,333.15,358.116,306.885,628.62,505.32,456.774,309.92,727.27
ENSG00000000460,C1orf112,159.677,145.438,83.599,100.476,163.603,174.722,87.859,95.74,182.042,167.408,155.633,173.835,150.931,216.716,231.187,315.5,217.803,452.675
ENSG00000000938,FGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000000971,CFH,13.0,15.0,0.0,2.498,5.0,0.0,2.0,0.0,2.0,7.0,9.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0
ENSG00000001036,FUCA2,1135.862,1144.179,1084.613,1103.848,1509.025,2271.799,918.607,522.692,982.843,1128.622,1002.206,1105.108,1124.186,2321.511,1898.392,1776.281,1152.086,1970.744
ENSG00000001084,GCLC,185.748,328.58,313.758,172.703,440.811,860.211,214.642,150.442,334.226,274.058,250.105,219.02,264.146,826.463,555.369,632.797,465.982,645.952
ENSG00000001167,NFYA,648.231,647.556,454.939,565.0,863.0,798.019,352.423,285.0,587.406,691.006,698.472,725.084,459.782,998.403,877.356,1307.17,771.956,1418.761
ENSG00000001460,STPG1,161.817,117.353,76.837,142.471,163.87,184.568,104.935,69.998,183.931,114.381,106.005,98.951,122.517,279.385,243.44,185.068,121.154,217.772
ENSG00000001461,NIPAL3,1311.819,1312.329,1036.0,1330.577,2003.401,2282.182,687.357,535.04,932.258,659.995,568.127,592.191,1062.917,2140.921,1344.37,874.134,546.817,985.888
