accession,source_database,title,organism,disease,mutation,cell_type,assay_type,platform,sample_count,control_count,case_count,processed_matrix_available,raw_fastq_available,metadata_available,publication,publication_year,download_url,keep_status,priority_score,reason_for_keep_or_exclude,notes
GSE305638,NCBI GEO/GDS,Frataxin deficiency drives cardiac dysfunction and transcriptional dysregulation in Friedreich ataxia iPSC model,Homo sapiens,Friedreich ataxia / frataxin-related mitochondrial disease,FXN / frataxin,human iPSC-derived cardiomyocytes,Expression profiling by high throughput sequencing,GPL30173,18,9,9,yes,no,yes,,2025,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE305nnn/GSE305638/,keep_high_priority,7,uses iPSC-related model; cardiac/cardiomyopathy relevance; processed supplementary table likely available; case/control labels detected in sample titles,Entrez UID: 200305638; matched_queries: mitochondrial disease iPSC RNA-seq; suppfile: TSV; bioproject: PRJNA1307399; case/control counts are heuristic from GEO sample titles; screened_with_gds_summary
GSE215351,NCBI GEO/GDS,KDM8 epigenetically controls cardiac metabolism to prevent initiation of dilated cardiomyopathy [RNA-seq],Homo sapiens; Mus musculus,mitochondrial cardiomyopathy,,human iPSC-derived cardiomyocytes,Expression profiling by high throughput sequencing,24676;24247;17021,31,8,8,yes,no,yes,PMID:38665902,2022,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE215nnn/GSE215351/,keep_high_priority,7,uses iPSC-related model; cardiac/cardiomyopathy relevance; processed supplementary table likely available; case/control labels detected in sample titles,Entrez UID: 200215351; matched_queries: mitochondrial cardiomyopathy iPSC cardiomyocyte RNA-seq; suppfile: TXT; bioproject: PRJNA889828; case/control counts are heuristic from GEO sample titles; screened_with_gds_summary
GSE329393,NCBI GEO/GDS,RBM20-variants induce distinct calcium handling and metabolic phenotypes in patient-specific stem cell models of dilated and non-compaction cardiomyopathy,Homo sapiens,mitochondrial cardiomyopathy,,human iPSC-derived cardiomyocytes,Expression profiling by high throughput sequencing,GPL24676,16,,,yes,yes,yes,,2026,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE329nnn/GSE329393/,keep_candidate,4,uses iPSC-related model; cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200329393; matched_queries: mitochondrial cardiomyopathy iPSC cardiomyocyte; suppfile: TSV; bioproject: PRJNA1458794; screened_with_gds_summary; Step 4 dataset re-check candidate; not selected as primary without further confirmation
GSE323990,NCBI GEO/GDS,Effects of RRAGD p.(Ser76Leu) variant in human induced pluripotent stem cell-derived cardiomyocytes gene expression,Homo sapiens,dilated cardiomyopathy,,human iPSC-derived cardiomyocytes,Expression profiling by high throughput sequencing,GPL30173,8,,,yes,yes,yes,,2026,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE323nnn/GSE323990/,keep_candidate,4,uses iPSC-related model; cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200323990; matched_queries: human cardiomyopathy cardiomyocyte RNA-seq; suppfile: TSV; bioproject: PRJNA1432913; screened_with_gds_summary
GSE302337,NCBI GEO/GDS,Failing heart-specific cardiac fibroblasts induce heart failure via c-Myc Expansion [snRNA-seq],Homo sapiens,heart failure,,human cardiomyocytes,Expression profiling by high throughput sequencing,GPL24676,6,2,4,unknown,no,yes,PMID:40931092,2025,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE302nnn/GSE302337/,keep_candidate,4,cardiac/cardiomyopathy relevance; case/control labels detected in sample titles,Entrez UID: 200302337; matched_queries: human cardiomyopathy cardiomyocyte RNA-seq | dilated cardiomyopathy single nucleus RNA-seq human heart | heart failure cardiomyocyte single nucleus RNA-seq; suppfile: H5; bioproject: PRJNA1290106; case/control counts are heuristic from GEO sample titles; screened_with_gds_summary
GSE300610,NCBI GEO/GDS,Growing iPSC-derived neuronal precursor cells (NPCs) of MT-ATP6 patients and of normal controls under physiological glucose concentrations of 4.5 mM with and without 1 µM or 10 µM Sildenafil for 6 or 24 hours.,Homo sapiens,mitochondrial disease,,human iPSC-derived neurons / neural cells,Expression profiling by high throughput sequencing,GPL23227,192,48,48,unknown,no,yes,,2025,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE300nnn/GSE300610/,keep_candidate,4,uses iPSC-related model; case/control labels detected in sample titles,"Entrez UID: 200300610; matched_queries: mitochondrial disease iPSC; suppfile: GTF, TAB; bioproject: PRJNA1281545; case/control counts are heuristic from GEO sample titles; screened_with_gds_summary; Step 4 dataset re-check candidate; not selected as primary without further confirmation"
GSE292178,NCBI GEO/GDS,Reprogramming-driven drug discovery uncovers sildenafil as a candidate drug for mitochondrial disease,Homo sapiens,mitochondrial disease,,human iPSC-derived neurons / neural cells,Expression profiling by high throughput sequencing,GPL23227,54,15,12,unknown,no,yes,PMID:41819105,2026,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292178/,keep_candidate,4,uses iPSC-related model; case/control labels detected in sample titles,"Entrez UID: 200292178; matched_queries: mitochondrial disease iPSC; suppfile: GTF, TAB; bioproject: PRJNA1237340; case/control counts are heuristic from GEO sample titles; screened_with_gds_summary; Step 4 dataset re-check candidate; not selected as primary without further confirmation"
GSE288708,NCBI GEO/GDS,Human iPSC-cardiomyocyte models of insulin resistance demonstrate metabolic and contractile dysfunction that recapitulates diabetic cardiomyopathy,Homo sapiens,mitochondrial cardiomyopathy,,human iPSC-derived cardiomyocytes,Expression profiling by high throughput sequencing,GPL24676,20,,,yes,no,yes,PMID:40357580,2025,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288708/,keep_candidate,4,uses iPSC-related model; cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200288708; matched_queries: mitochondrial cardiomyopathy iPSC cardiomyocyte RNA-seq | mitochondrial dysfunction cardiomyocyte RNA-seq; suppfile: CSV; bioproject: PRJNA1219113; screened_with_gds_summary
GSE262419,NCBI GEO/GDS,Informing Hazard Identification and Risk Characterization of Environmental Chemicals by Combining Transcriptomic and Functional Data from Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes,Homo sapiens,mitochondrial dysfunction / OXPHOS,,human iPSC-derived cardiomyocytes,Expression profiling by high throughput sequencing,GPL16791,4558,,,yes,no,yes,PMID:39046974,2024,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE262nnn/GSE262419/,keep_candidate,4,uses iPSC-related model; cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200262419; matched_queries: mitochondrial dysfunction cardiomyocyte RNA-seq; suppfile: CSV; bioproject: PRJNA1091686; screened_with_gds_summary
GSE193861,NCBI GEO/GDS,Transcriptional co-activators YAP1-TAZ of Hippo signalling in doxorubicin-induced cardiomyopathy,Homo sapiens,mitochondrial cardiomyopathy,TAZ,human iPSC-derived cardiomyocytes,Expression profiling by high throughput sequencing,GPL16791,10,,,yes,no,yes,PMID:34931757,2022,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE193nnn/GSE193861/,keep_candidate,4,uses iPSC-related model; cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200193861; matched_queries: mitochondrial cardiomyopathy iPSC cardiomyocyte; suppfile: TXT; bioproject: PRJNA798241; screened_with_gds_summary; Step 4 dataset re-check candidate; not selected as primary without further confirmation
