gene_id,gene_symbol,mean_log2_cpm_disease,mean_log2_cpm_control,mean_log2_cpm,log2_fold_change,p_value,n_pairs,method,comparison,padj,abs_log2_fold_change
ENSG00000228300,C19orf24,3.8894469687837367,3.6335153742644337,3.7614811715240855,0.25593159451930303,6.026228246703893e-05,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.4427176589088894,0.25593159451930303
ENSG00000172954,LCLAT1,5.437038932210595,5.276863448902763,5.3569511905566785,0.1601754833078326,9.143587693661788e-05,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.4427176589088894,0.1601754833078326
ENSG00000130165,ELOF1,5.040290922415579,4.94154233126982,4.9909166268427,0.09874859114575951,0.00011466279622235384,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.4427176589088894,0.09874859114575951
ENSG00000187372,PCDHB13,2.7356253154170633,2.3608834378134094,2.5482543766152363,0.37474187760365396,0.00014475408117626423,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.4427176589088894,0.37474187760365396
ENSG00000161249,DMKN,4.833574932659516,4.450010693808389,4.641792813233953,0.3835642388511271,0.00015208588340314788,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.4427176589088894,0.3835642388511271
ENSG00000108950,FAM20A,3.735044351723378,3.3153413392922197,3.525192845507798,0.41970301243115804,0.0002096098964634685,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.4427176589088894,0.41970301243115804
ENSG00000132591,ERAL1,6.060649854102109,5.927074202353432,5.99386202822777,0.1335756517486768,0.00024368784654706603,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.4427176589088894,0.1335756517486768
ENSG00000130768,SMPDL3B,2.302828391718827,1.823642495209928,2.0632354434643774,0.4791858965088991,0.00025991522971199725,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.4427176589088894,0.4791858965088991
ENSG00000123297,TSFM,4.697657407025853,4.603004161579771,4.650330784302812,0.09465324544608222,0.00030387647924423063,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.4427176589088894,0.09465324544608222
ENSG00000132603,NIP7,4.684466489770062,4.593065581588839,4.63876603567945,0.0914009081812237,0.00031775474764632105,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.4427176589088894,0.0914009081812237
