gene_symbol,GSM9181254,GSM9181255,GSM9181256,GSM9181257,GSM9181258,GSM9181259,GSM9181260,GSM9181261,GSM9181262,GSM9181263,GSM9181264,GSM9181265,GSM9181266,GSM9181267,GSM9181268,GSM9181269,GSM9181270,GSM9181271
MT-TK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-ND1,-1.0384033794528154,-0.7304491723286329,-0.9743374274639784,-0.6985533983243182,0.6936865158784539,1.9650533237957624,-0.0645430197407308,-1.0517819965324897,0.6802969817777926,0.6041265444294,-0.2985651615705943,-0.030585979795821304,-1.5500023626035786,0.08762605768571102,0.17143822938183914,0.34567269278251006,-0.3273694170725092,2.216690969153955
MT-ND2,-1.0589558088620026,-0.8588062989954748,-0.9347049559164587,-0.8064875834743136,0.3780933350183228,1.5791290929173578,-0.29110482270156096,-1.0375691793333577,0.5939134402819226,1.4274744065241454,0.6026376617609014,0.739873754661883,-1.7813787294424768,-0.041413324457167625,-0.2770565662392105,0.2261384929338881,-0.2371187062617565,1.777335791585404
MT-ND3,-0.581248877418527,-0.4633445309050491,-0.972670339762814,-0.4404919726355401,0.6080320538704956,1.4696721920899463,-0.2795921128147708,-1.4008598460214525,0.6349249616395163,1.4260101855832135,0.2771391823343105,0.7336980541024027,-2.1873640508433327,-0.16394237711207715,-0.5363609772590013,0.2600655850872479,0.029595326919872943,1.5867375431455264
MT-ND4,-0.5392134586248342,-0.4273257233529921,-1.0115428960245298,-0.6030104964836743,0.7446322699862317,1.9329295198993441,-0.8189288203408815,-1.1079962783927153,0.5770211700776602,1.155444557841169,0.21318032136693132,0.3484949514040228,-1.9571293616816714,0.022802835399113278,0.039658867573068475,0.25637036264758206,-0.5369438943502712,1.7115560730564912
MT-ND4L,-0.6246316179079341,-0.7310721536222398,-0.9326907119818877,-0.47471620485373867,0.7539123187321197,1.8168590498718749,-0.6488136520883117,-1.1851382414998854,0.5286206998665092,1.1618802037962825,0.25528370379969545,0.42350527579036823,-1.9761646470253522,0.015297442537636954,-0.02748853392925877,0.25680473442971297,-0.4181745651437711,1.8067268992281413
MT-ND5,-1.1024744464774283,-0.7549350935375392,-0.7139119896682163,-0.6836535986006386,0.7212769932574956,2.0492669609889815,0.1849703582931603,-0.5109614962551206,0.8968236133821239,0.5715562523588569,0.0008854398716665792,0.13385431676028275,-2.0374713021457347,-0.17413847869987836,-0.507154306753769,0.260766741461724,-0.2114337800198986,1.8767338157838078
MT-ND6,-1.0791037175530658,-0.8361726814297582,-0.8645844544248111,-0.8295530009830189,0.537263704627631,2.0570827629684127,0.06718152794454202,-0.04617922681921194,1.1244597006795198,0.6668419797724696,0.20628536996825111,0.1197882058825406,-2.084720070968872,-0.28048533426209604,-0.42294825629765903,0.17764724260358702,-0.1692977275916907,1.6564939758832133
MT-CO1,-0.6162750342332808,-0.462861083519708,-1.2742410676292735,-0.5887840657107385,0.7235657686326836,1.7380408618563132,-0.7716675534883851,-1.3705022016876356,0.39920079937818176,0.7596419098537975,-0.1750740717644504,0.13416613526268628,-1.7155168501376625,0.42317370120254694,0.4109257356503076,0.6720774823949163,-0.24309803907596272,1.95722757301569
MT-CO2,-0.6026080539684238,-0.3661496869378551,-0.94904665407939,-0.5331845493841086,0.8073583154749833,1.871160556487229,-0.771938817451592,-1.5617046005483726,0.4014740576898674,0.7448292948207081,-0.20370214938358316,0.030747092965041984,-1.709064480380515,0.28015879443637204,0.0843369371013496,0.5744603565725448,-0.10321452141708351,2.0060881080028814
MT-CO3,-0.9134389245644539,-0.6250969870205766,-0.5519372717440699,-0.6484863549157076,0.6000013477956329,1.9484394982080222,-0.48178409794045546,-1.5323009319636032,0.19599321921016852,1.1167002965866974,0.3213232316546634,0.562904750309579,-1.8259881722286027,-0.07425749509807601,-0.312721188652074,0.5793408096285182,-0.04177459713248151,1.6830828678668248
MT-CYB,-1.0213366542391806,-0.7235916282259627,-0.8508125721247445,-0.707369152652857,0.6591840660768671,2.0439049372322438,0.15627226621133325,-0.6354436470047573,0.9751459398530135,1.0069957148467767,-0.010255461372105888,0.14168220762871353,-1.9149705949520586,-0.3816839916854929,-0.14105640548566575,0.025174338442085574,-0.40650963530978473,1.7846702727615085
MT-ATP6,-0.8079526097018443,-0.7719072674361871,-0.9790242464397503,-0.7353119150624567,0.6055883235528373,1.9650299319348214,-0.33095071943928384,-0.5998512750490839,0.7101942914271343,1.0395474512946372,0.2733609500112473,0.2518916845805699,-2.0575579495465885,-0.16794267509980285,-0.20684573434224465,0.20798889376233431,-0.246405685086751,1.8501485506404114
MT-ATP8,-0.9558297089619651,-0.8628487832326156,-1.186207117539033,-0.6329505433785395,0.7118049368444678,1.9813435059447533,-0.06707575355051867,-0.2235650532482669,0.6743934465624338,1.010279204561555,0.47096586127819906,0.07271282467875632,-2.1377189043475116,-0.2352471335055051,-0.27702631006565914,0.324804810346243,-0.2422061158580943,1.5743708334713238
NDUFA1,0.3071184300193414,0.613809882267133,-0.13681902802716947,0.47804869176935827,1.1309178604786854,1.5996110005855952,-1.2047169420567787,-2.524060394835797,-0.41786892955980093,0.13470787649314894,-0.6566094169939685,-0.01742879917336048,-1.4763070547743413,0.34554534540933546,0.2066907765220325,0.6396938899236044,-0.13115907608295238,1.1088258880359314
NDUFB8,0.18504325876085112,0.4759021447174617,-0.3125720093170421,0.17387963829802794,0.9816796621858599,1.4982181628293005,-1.2145101199542312,-2.5156217496035445,-0.635808550939141,-0.2735266842287333,-0.4718898653528549,-0.1856616711915036,-1.2193496812424731,0.6933545870811502,0.6751131050608127,1.0449922501951086,-0.05880370336153424,1.1595612260625066
SDHA,-0.0657711634876351,0.3502829059647322,-0.3721720774765311,0.009548890677204868,1.0743594894582489,1.6128783736405103,-0.9140887319420762,-2.4963725781538817,-0.09601407936543296,-0.2823334945901335,-0.27413258493498877,-0.2198131294135489,-1.4053833902984445,0.4969524733436228,0.8361361981345424,0.9496364919973692,-0.48471656149571707,1.2810029679422197
UQCRC2,0.017130892897910893,-0.02262934477145965,-0.29077973746469005,0.18508167381984644,1.1182784486440247,1.715418908793865,-1.1644299024816347,-2.4891835061482115,-0.12167365829873103,-0.1731374649437474,-0.23972589591249696,-0.12764007932527052,-1.265329640003446,0.7420434310465119,0.8853939321502943,0.7241543171849862,-0.5915177294450172,1.098545354257228
COX4I1,0.1366797264463326,0.7103708839245929,-0.2812010758424978,0.12973368728926457,1.2035832315885575,1.598333997002638,-0.994922810103965,-2.576803061400086,-0.44276061429373753,0.06618204134467838,-0.32833449864251835,-0.018636549937310662,-1.4859133060664715,0.3164958962653709,0.49854727202607346,0.80481101839573,-0.38027441697568626,1.0441085789790039
ATP5F1A,0.03973963645053634,0.17044275419918933,-0.37217974267779863,0.17814980771816993,1.1333352243986217,1.7010167609020563,-1.1155793679590924,-2.251417880254303,-0.4406886674798543,-0.3867871726205628,-0.535346051252393,-0.3931640776517859,-1.2417943296706417,0.699143573078984,0.8480203395792678,0.9346097095372482,-0.31028152465012576,1.3427810083524867
TFAM,-0.43400538967495844,-0.15323463674654972,-0.6882170409988214,-0.5246112383190499,0.40715460957838767,1.2305828589140602,-1.2662503020355484,-2.0835328065946417,0.275302830030597,-0.40118104053141335,-0.37062099898463163,-0.18821616549587095,-0.9979828555057623,0.8117714333701104,0.9068942235170026,1.3408872054910508,0.21612410096866927,1.9191352130173764
POLG,-0.3808294239474241,0.028173053684998166,-0.8741107790936264,-1.0537173837665186,0.5004850874941067,1.068228973503033,-0.41476782483419294,-2.324332048400296,0.5774253737257639,-0.3743859786196064,-0.49871654193228176,-0.2652992163580999,-0.4299304073303306,1.4265666528476124,1.3514899773678606,0.9304010579940657,-0.6432822725312713,1.3766017001961923
POLG2,-0.30746472628133265,0.35913104876329965,-0.9309069534343349,-0.49487778683424716,0.6845568901743194,0.9213546761838717,-0.8083304049633847,-2.1695644340337727,0.5875723271103075,-0.4610882413703175,-0.6035963789528088,-0.35039760801010844,-1.0104815879305544,1.348340237651475,0.9157563421704085,1.085890098495129,-0.4608513307324093,1.6949578319944796
TWNK,-0.8893347839415916,-0.23814998013550523,-0.8991299214423701,-0.32941886277910165,0.6446832621864589,1.094135352001402,-1.0212087545837676,-1.923745700478272,0.8419908198105417,-0.24617913966796887,-0.9062793484630903,-0.6180891150913836,-0.6197546590923272,1.4756825047361266,1.0917807202889922,1.192836877322185,0.03555907642107399,1.314621652908637
MFN1,-0.565508383572636,-0.5008960988924396,-0.7995283978648599,-0.6499278136337993,0.3675343626760958,1.0412311725707224,-0.8176660228563307,-2.0304899235950997,0.0849090747104159,-0.4483438921307355,-0.527961508970096,-0.27473020970639056,-0.2817815664553615,1.6513725206078211,1.1893303095709324,1.0400030597402492,-0.3188246668273094,1.8412779846288283
MFN2,-0.8981516612758635,-0.6334735823981646,0.0348725457785692,-0.7924439961390721,0.10224904468584282,1.5024208107466188,-0.2488693372353277,-2.5303728741487115,0.5952378996237504,-0.33641325406661915,-0.1349801157408404,-0.11818533547005805,-0.47742213526970906,1.272811513327835,1.2318235555124064,0.622389095522323,-0.5578154316472032,1.3663232581942748
OPA1,-0.5302230809669789,-0.44346506835766997,-0.7489565476085286,-0.40099372083765955,0.5299623539288041,1.2181462859253969,-0.9248915961519749,-2.305536441387582,0.27175201542359984,-0.21566149645947053,-0.21027635736024972,-0.130074480461895,-0.996754542458188,1.0405435607184612,0.9187198812047322,1.2154613307545363,-0.09775579423854863,1.8100036983331984
DNM1L,-0.7239745487410673,-0.5462701080183837,-0.6795606749964967,-0.6058692447819264,0.3855575351319276,1.280959808086315,-0.8725855053600046,-2.150855143358822,0.18456322306865325,-0.2970218317693475,-0.3059170664381294,-0.2368303602234122,-0.7012044812220292,1.254586311656061,1.0097353566045968,1.3166064826497428,-0.06590879550386462,1.7539890432162157
FIS1,0.22485554931150886,0.6302422640239493,-0.5451479677950802,-0.059090140429798065,1.108837261711758,1.5944844412210781,-1.1515276405069939,-2.46797131787527,-0.38216625782984803,-0.32442868973698397,-0.6563118524236408,-0.35884036275936626,-1.017056946091866,0.8847551398474676,0.7969636380981606,0.7971136503734885,-0.14403619920316893,1.0693254300646116
MFF,0.011296227670124585,0.3459709598950567,-0.6127892572226711,0.08425102064679044,0.989010268171593,1.4570240889709796,-1.070898230058829,-2.4136851692750483,0.08455218676856449,-0.3955928460275563,-0.5332257597831893,-0.44936959050417563,-1.10513338710807,0.8611996112586242,0.6403513241470599,0.909536448438677,-0.36473373262825337,1.562235836640279
PINK1,0.24164767318845615,0.7204834733632358,-0.15912691627853723,0.33860167436300637,1.2393966693015206,1.8797336306603787,-0.9750980868534147,-1.8803089440441267,-0.5408755099021517,-0.954059907025601,-0.9766125385675575,-0.9114256275575083,-0.9528337901321882,0.6787683011718442,0.8351569889960297,0.7788482006605228,-0.3381740974687351,0.9758788061248289
PRKN,-0.4488825511711136,-0.009171406897604963,-0.24630845195339213,-0.4020124069406248,0.9841440355165366,1.6252767662640777,-1.2917596020449094,-1.9399918583103362,-0.3358726622530161,0.017971390320848872,-0.07719903133059318,0.414656442158415,-1.719754427032702,-0.04867813875141234,0.5895870683708739,1.2164124068856592,0.10828200401139214,1.5633004231578704
BNIP3,-0.28278800151473144,-0.10169315172513377,-0.8847374275621392,-0.3147923435853246,0.7876645151209951,1.1633105481065529,-1.2073430992390597,-2.557652199150738,-0.08559017341220143,0.09159916452881843,-0.04577064863754127,0.2757842737638055,-0.8864529982864571,1.0332705633464732,0.5966869276782103,1.1862426986698897,-0.27412488723323536,1.5063862391318523
