gene_symbol,category,notes,gene_id,mean_log2_cpm_disease,mean_log2_cpm_control,mean_log2_cpm,log2_fold_change,p_value,padj,n_pairs,method,comparison,result_status,direction,rank_by_padj
MT-TK,mitochondrial translation / mtDNA maintenance,Mitochondrial tRNA lysine gene.,,,,,,,,,,,not_tested_in_de_filter,not_tested_or_no_change,41
POLG,mitochondrial translation / mtDNA maintenance,mtDNA polymerase catalytic subunit.,ENSG00000140521,6.129599601048677,5.85896646889487,5.994283034971773,0.2706331321538071,0.0116052515592874,0.6709870961276817,3.0,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,tested,up_in_disease,1
ATP5F1A,ATP synthase,Nuclear-encoded ATP synthase subunit.,ENSG00000152234,10.032730283059442,10.09065364223231,10.061691962645876,-0.057923359172868,0.0216247126693644,0.6709870961276817,3.0,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,tested,down_in_disease,1
MT-ND2,mtDNA-encoded OXPHOS genes,mtDNA-encoded complex I subunit.,ENSG00000198763,12.37357022088628,12.874255727725838,12.62391297430606,-0.5006855068395577,0.0296510470817832,0.6709870961276817,3.0,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,tested,down_in_disease,1
MT-CO3,mtDNA-encoded OXPHOS genes,mtDNA-encoded complex IV subunit.,ENSG00000198938,12.26705249433588,12.790963732342652,12.529008113339264,-0.5239112380067734,0.0496564836204898,0.6709870961276817,3.0,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,tested,down_in_disease,1
PPARGC1A,mitochondrial biogenesis,PGC-1 alpha biogenesis regulator.,ENSG00000109819,6.761284823861799,7.107945220186195,6.934615022023997,-0.3466603963243955,0.0547432126636135,0.6709870961276817,3.0,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,tested,down_in_disease,1
MT-ND4,mtDNA-encoded OXPHOS genes,mtDNA-encoded complex I subunit.,ENSG00000198886,13.750123981967796,14.021020885854176,13.885572433910983,-0.2708969038863813,0.0560906911288317,0.6709870961276817,3.0,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,tested,down_in_disease,1
MT-ND4L,mtDNA-encoded OXPHOS genes,mtDNA-encoded complex I subunit.,ENSG00000212907,10.938415957273262,11.249516845942669,11.093966401607965,-0.3111008886694044,0.0568017423632326,0.6709870961276817,3.0,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,tested,down_in_disease,1
MFN1,fusion/fission,Mitochondrial fusion.,ENSG00000171109,6.6502520994849625,6.50361186321527,6.576931981350117,0.1466402362696923,0.0748571622753531,0.6709870961276817,3.0,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,tested,up_in_disease,1
MT-ND3,mtDNA-encoded OXPHOS genes,mtDNA-encoded complex I subunit.,ENSG00000198840,9.85334855137203,10.471076035701133,10.16221229353658,-0.6177274843291016,0.0765419483721128,0.6709870961276817,3.0,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,tested,down_in_disease,1
POLG2,mitochondrial translation / mtDNA maintenance,mtDNA polymerase accessory subunit.,ENSG00000256525,3.636748462612524,3.508662116957692,3.5727052897851075,0.1280863456548315,0.1317589294999414,0.6709870961276817,3.0,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,tested,up_in_disease,1
