category,sample_id,group,paired_patient_id,cell_line,replicate,pathway_score,available_gene_count,requested_gene_count,available_genes
ATP synthase,GSM9181257,control,1,FA1ic,1,0.17814980771816993,1,1,ATP5F1A
ATP synthase,GSM9181258,control,1,FA1ic,2,1.1333352243986217,1,1,ATP5F1A
ATP synthase,GSM9181259,control,1,FA1ic,3,1.7010167609020563,1,1,ATP5F1A
ATP synthase,GSM9181254,disease,1,FA1,1,0.03973963645053634,1,1,ATP5F1A
ATP synthase,GSM9181255,disease,1,FA1,2,0.17044275419918933,1,1,ATP5F1A
ATP synthase,GSM9181256,disease,1,FA1,3,-0.37217974267779863,1,1,ATP5F1A
ATP synthase,GSM9181263,control,2,FA2ic,1,-0.3867871726205628,1,1,ATP5F1A
ATP synthase,GSM9181264,control,2,FA2ic,2,-0.535346051252393,1,1,ATP5F1A
ATP synthase,GSM9181265,control,2,FA2ic,3,-0.3931640776517859,1,1,ATP5F1A
ATP synthase,GSM9181260,disease,2,FA2,1,-1.1155793679590924,1,1,ATP5F1A
ATP synthase,GSM9181261,disease,2,FA2,2,-2.251417880254303,1,1,ATP5F1A
ATP synthase,GSM9181262,disease,2,FA2,3,-0.4406886674798543,1,1,ATP5F1A
ATP synthase,GSM9181269,control,3,FA3ic,1,0.9346097095372482,1,1,ATP5F1A
ATP synthase,GSM9181270,control,3,FA3ic,2,-0.31028152465012576,1,1,ATP5F1A
ATP synthase,GSM9181271,control,3,FA3ic,3,1.3427810083524867,1,1,ATP5F1A
ATP synthase,GSM9181266,disease,3,FA3,1,-1.2417943296706417,1,1,ATP5F1A
ATP synthase,GSM9181267,disease,3,FA3,2,0.699143573078984,1,1,ATP5F1A
ATP synthase,GSM9181268,disease,3,FA3,3,0.8480203395792678,1,1,ATP5F1A
fusion/fission,GSM9181257,control,1,FA1ic,1,-0.4040123158625775,6,6,MFN1;MFN2;OPA1;DNM1L;FIS1;MFF
fusion/fission,GSM9181258,control,1,FA1ic,2,0.5805251377176702,6,6,MFN1;MFN2;OPA1;DNM1L;FIS1;MFF
fusion/fission,GSM9181259,control,1,FA1ic,3,1.3490444345868517,6,6,MFN1;MFN2;OPA1;DNM1L;FIS1;MFF
fusion/fission,GSM9181254,disease,1,FA1,1,-0.41361764959581876,6,6,MFN1;MFN2;OPA1;DNM1L;FIS1;MFF
fusion/fission,GSM9181255,disease,1,FA1,2,-0.19131527229127535,6,6,MFN1;MFN2;OPA1;DNM1L;FIS1;MFF
fusion/fission,GSM9181256,disease,1,FA1,3,-0.5585183832848446,6,6,MFN1;MFN2;OPA1;DNM1L;FIS1;MFF
fusion/fission,GSM9181263,control,2,FA2ic,1,-0.3362436683651189,6,6,MFN1;MFN2;OPA1;DNM1L;FIS1;MFF
fusion/fission,GSM9181264,control,2,FA2ic,2,-0.3947787767860243,6,6,MFN1;MFN2;OPA1;DNM1L;FIS1;MFF
fusion/fission,GSM9181265,control,2,FA2ic,3,-0.2613383898542163,6,6,MFN1;MFN2;OPA1;DNM1L;FIS1;MFF
fusion/fission,GSM9181260,disease,2,FA2,1,-0.8477397220282435,6,6,MFN1;MFN2;OPA1;DNM1L;FIS1;MFF
fusion/fission,GSM9181261,disease,2,FA2,2,-2.316485144940089,6,6,MFN1;MFN2;OPA1;DNM1L;FIS1;MFF
fusion/fission,GSM9181262,disease,2,FA2,3,0.13980802362752257,6,6,MFN1;MFN2;OPA1;DNM1L;FIS1;MFF
fusion/fission,GSM9181269,control,3,FA3ic,1,0.9835183445798362,6,6,MFN1;MFN2;OPA1;DNM1L;FIS1;MFF
fusion/fission,GSM9181270,control,3,FA3ic,2,-0.2581791033413914,6,6,MFN1;MFN2;OPA1;DNM1L;FIS1;MFF
fusion/fission,GSM9181271,control,3,FA3ic,3,1.5671925418462347,6,6,MFN1;MFN2;OPA1;DNM1L;FIS1;MFF
fusion/fission,GSM9181266,disease,3,FA3,1,-0.7632255097675372,6,6,MFN1;MFN2;OPA1;DNM1L;FIS1;MFF
fusion/fission,GSM9181267,disease,3,FA3,2,1.1608781095693783,6,6,MFN1;MFN2;OPA1;DNM1L;FIS1;MFF
fusion/fission,GSM9181268,disease,3,FA3,3,0.964487344189648,6,6,MFN1;MFN2;OPA1;DNM1L;FIS1;MFF
mitochondrial biogenesis,GSM9181257,control,1,FA1ic,1,-0.24934017801977817,3,3,PPARGC1A;NRF1;ESRRA
mitochondrial biogenesis,GSM9181258,control,1,FA1ic,2,0.6552199613721296,3,3,PPARGC1A;NRF1;ESRRA
mitochondrial biogenesis,GSM9181259,control,1,FA1ic,3,1.4325757680064684,3,3,PPARGC1A;NRF1;ESRRA
mitochondrial biogenesis,GSM9181254,disease,1,FA1,1,-0.43108662096026995,3,3,PPARGC1A;NRF1;ESRRA
mitochondrial biogenesis,GSM9181255,disease,1,FA1,2,-0.2415108906626604,3,3,PPARGC1A;NRF1;ESRRA
mitochondrial biogenesis,GSM9181256,disease,1,FA1,3,-0.5669716211259783,3,3,PPARGC1A;NRF1;ESRRA
mitochondrial biogenesis,GSM9181263,control,2,FA2ic,1,0.13604102997547304,3,3,PPARGC1A;NRF1;ESRRA
mitochondrial biogenesis,GSM9181264,control,2,FA2ic,2,-0.061811069522171413,3,3,PPARGC1A;NRF1;ESRRA
mitochondrial biogenesis,GSM9181265,control,2,FA2ic,3,0.07783277942336529,3,3,PPARGC1A;NRF1;ESRRA
mitochondrial biogenesis,GSM9181260,disease,2,FA2,1,-0.8632298742113139,3,3,PPARGC1A;NRF1;ESRRA
mitochondrial biogenesis,GSM9181261,disease,2,FA2,2,-2.336187594606746,3,3,PPARGC1A;NRF1;ESRRA
mitochondrial biogenesis,GSM9181262,disease,2,FA2,3,0.15584014819618638,3,3,PPARGC1A;NRF1;ESRRA
mitochondrial biogenesis,GSM9181269,control,3,FA3ic,1,1.2458851614015527,3,3,PPARGC1A;NRF1;ESRRA
mitochondrial biogenesis,GSM9181270,control,3,FA3ic,2,0.12228759183469518,3,3,PPARGC1A;NRF1;ESRRA
mitochondrial biogenesis,GSM9181271,control,3,FA3ic,3,1.5552215751456384,3,3,PPARGC1A;NRF1;ESRRA
mitochondrial biogenesis,GSM9181266,disease,3,FA3,1,-1.4479537888992615,3,3,PPARGC1A;NRF1;ESRRA
mitochondrial biogenesis,GSM9181267,disease,3,FA3,2,0.340709499895594,3,3,PPARGC1A;NRF1;ESRRA
mitochondrial biogenesis,GSM9181268,disease,3,FA3,3,0.4764781227570634,3,3,PPARGC1A;NRF1;ESRRA
mitochondrial translation / mtDNA maintenance,GSM9181257,control,1,FA1ic,1,-0.4805250543397842,5,5,MT-TK;TFAM;POLG;POLG2;TWNK
mitochondrial translation / mtDNA maintenance,GSM9181258,control,1,FA1ic,2,0.44737596988665373,5,5,MT-TK;TFAM;POLG;POLG2;TWNK
mitochondrial translation / mtDNA maintenance,GSM9181259,control,1,FA1ic,3,0.8628603721204726,5,5,MT-TK;TFAM;POLG;POLG2;TWNK
mitochondrial translation / mtDNA maintenance,GSM9181254,disease,1,FA1,1,-0.4023268647690621,5,5,MT-TK;TFAM;POLG;POLG2;TWNK
mitochondrial translation / mtDNA maintenance,GSM9181255,disease,1,FA1,2,-0.0008161028867521736,5,5,MT-TK;TFAM;POLG;POLG2;TWNK
mitochondrial translation / mtDNA maintenance,GSM9181256,disease,1,FA1,3,-0.6784729389938313,5,5,MT-TK;TFAM;POLG;POLG2;TWNK
mitochondrial translation / mtDNA maintenance,GSM9181263,control,2,FA2ic,1,-0.29656688003786197,5,5,MT-TK;TFAM;POLG;POLG2;TWNK
mitochondrial translation / mtDNA maintenance,GSM9181264,control,2,FA2ic,2,-0.4758426536665633,5,5,MT-TK;TFAM;POLG;POLG2;TWNK
mitochondrial translation / mtDNA maintenance,GSM9181265,control,2,FA2ic,3,-0.2844004209910933,5,5,MT-TK;TFAM;POLG;POLG2;TWNK
mitochondrial translation / mtDNA maintenance,GSM9181260,disease,2,FA2,1,-0.7021114572833794,5,5,MT-TK;TFAM;POLG;POLG2;TWNK
mitochondrial translation / mtDNA maintenance,GSM9181261,disease,2,FA2,2,-1.700234997901397,5,5,MT-TK;TFAM;POLG;POLG2;TWNK
mitochondrial translation / mtDNA maintenance,GSM9181262,disease,2,FA2,3,0.45645827013544127,5,5,MT-TK;TFAM;POLG;POLG2;TWNK
