category,tested_gene_count,nominal_gene_count,background_gene_count,background_nominal_gene_count,overlap_genes,odds_ratio,p_value,padj,mean_log2_fold_change,direction,method,notes
ATP synthase,1,1,14718,858,ATP5F1A,inf,0.05829596412556054,0.641255605381166,-0.057923359172868,lower_in_disease,fisher_exact_over_representation_nominal_p_lt_0.05,Exploratory local mitochondrial-category over-representation; not broad pathway discovery.
mtDNA-encoded OXPHOS genes,13,2,14718,858,MT-CO3;MT-ND2,2.941588785046729,0.17332892018146556,0.7831783545850458,-0.34292860913180623,lower_in_disease,fisher_exact_over_representation_nominal_p_lt_0.05,Exploratory local mitochondrial-category over-representation; not broad pathway discovery.
mitochondrial translation / mtDNA maintenance,4,1,14718,858,POLG,5.389731621936989,0.2135940967050125,0.7831783545850458,0.10838601480420648,higher_in_disease,fisher_exact_over_representation_nominal_p_lt_0.05,Exploratory local mitochondrial-category over-representation; not broad pathway discovery.
fusion/fission,6,0,14718,858,,0.0,1.0,1.0,0.05043077612258632,higher_in_disease,fisher_exact_over_representation_nominal_p_lt_0.05,Exploratory local mitochondrial-category over-representation; not broad pathway discovery.
mitochondrial biogenesis,3,0,14718,858,,0.0,1.0,1.0,-0.22496092395898362,lower_in_disease,fisher_exact_over_representation_nominal_p_lt_0.05,Exploratory local mitochondrial-category over-representation; not broad pathway discovery.
mitophagy,4,0,14718,858,,0.0,1.0,1.0,0.01315033960571823,near_zero,fisher_exact_over_representation_nominal_p_lt_0.05,Exploratory local mitochondrial-category over-representation; not broad pathway discovery.
oxidative stress / ROS,4,0,14718,858,,0.0,1.0,1.0,0.11594686465027723,higher_in_disease,fisher_exact_over_representation_nominal_p_lt_0.05,Exploratory local mitochondrial-category over-representation; not broad pathway discovery.
respiratory chain complex I,2,0,14718,858,,0.0,1.0,1.0,-0.2041717606487614,lower_in_disease,fisher_exact_over_representation_nominal_p_lt_0.05,Exploratory local mitochondrial-category over-representation; not broad pathway discovery.
respiratory chain complex II,1,0,14718,858,,0.0,1.0,1.0,-0.0214725725637734,near_zero,fisher_exact_over_representation_nominal_p_lt_0.05,Exploratory local mitochondrial-category over-representation; not broad pathway discovery.
respiratory chain complex III,1,0,14718,858,,0.0,1.0,1.0,-0.045960658659526,near_zero,fisher_exact_over_representation_nominal_p_lt_0.05,Exploratory local mitochondrial-category over-representation; not broad pathway discovery.
respiratory chain complex IV,1,0,14718,858,,0.0,1.0,1.0,-0.1388524060457348,lower_in_disease,fisher_exact_over_representation_nominal_p_lt_0.05,Exploratory local mitochondrial-category over-representation; not broad pathway discovery.
