sample_id,PC1,PC2,group,paired_patient_id,cell_line,replicate
GSM9181254,-38.70857785208756,87.1364337713186,disease,1,FA1,1
GSM9181255,-1.3813425033044606,88.02581585820653,disease,1,FA1,2
GSM9181256,-103.99153995535218,19.176318088208536,disease,1,FA1,3
GSM9181257,-50.81696293087914,80.55005648781491,control,1,FA1ic,1
GSM9181258,79.1362313017769,94.41746841885399,control,1,FA1ic,2
GSM9181259,139.97157379709535,50.72651371730268,control,1,FA1ic,3
GSM9181260,-128.96881273723227,-39.8121406686694,disease,2,FA2,1
GSM9181261,-245.96082050923513,-30.27890406884762,disease,2,FA2,2
GSM9181262,13.98636476754147,-45.04383566523895,disease,2,FA2,3
GSM9181263,-49.84799585211094,-7.175025298866859,control,2,FA2ic,1
GSM9181264,-61.65387345031006,-13.052455597251619,control,2,FA2ic,2
GSM9181265,-45.78927456432997,-7.3499014777765055,control,2,FA2ic,3
GSM9181266,-90.74976662255688,-90.55453198854983,disease,3,FA3,1
GSM9181267,145.7639477043025,-98.98900288562407,disease,3,FA3,2
GSM9181268,122.9142148986524,-56.93927482465124,disease,3,FA3,3
GSM9181269,126.95766026404499,4.6130732622871795,control,3,FA3ic,1
GSM9181270,-26.715494835526755,-7.566395836680477,control,3,FA3ic,2
GSM9181271,215.85446907951172,-27.884211291835815,control,3,FA3ic,3
