sample_id,library_size,detected_genes,missing_values,group,paired_patient_id,cell_line,replicate
GSM9181254,21902140.943,24986,0,disease,1,FA1,1
GSM9181255,24189978.648000002,25432,0,disease,1,FA1,2
GSM9181256,19379166.222000003,24149,0,disease,1,FA1,3
GSM9181257,21843540.262000002,24533,0,control,1,FA1ic,1
GSM9181258,32468176.286,26260,0,control,1,FA1ic,2
GSM9181259,43308045.04,26407,0,control,1,FA1ic,3
GSM9181260,18209689.608,24329,0,disease,2,FA2,1
GSM9181261,11664961.011,23447,0,disease,2,FA2,2
GSM9181262,27444165.469,25893,0,disease,2,FA2,3
GSM9181263,24392238.386,24889,0,control,2,FA2ic,1
GSM9181264,22995389.032999996,24767,0,control,2,FA2ic,2
GSM9181265,23947356.389,24936,0,control,2,FA2ic,3
GSM9181266,18260137.697,24883,0,disease,3,FA3,1
GSM9181267,37287160.332,27033,0,disease,3,FA3,2
GSM9181268,34519982.361,26799,0,disease,3,FA3,3
GSM9181269,35795190.389,25864,0,control,3,FA3ic,1
GSM9181270,23031803.722,24787,0,control,3,FA3ic,2
GSM9181271,45600787.59900001,27262,0,control,3,FA3ic,3
