gene_id,gene_symbol,mean_log2_cpm_disease,mean_log2_cpm_control,mean_log2_cpm,log2_fold_change,p_value,n_pairs,method,comparison,padj,abs_log2_fold_change,direction
ENSG00000214548,MEG3,5.583559927426279,0.2507032056859015,2.9171315665560904,5.332856721740377,0.010497396602182078,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,5.332856721740377,up_in_disease
ENSG00000280551,AC096745.2,4.896675620236765,0.7246991771155428,2.8106873986761536,4.171976443121222,0.258914599468511,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.672632015614057,4.171976443121222,up_in_disease
ENSG00000141668,CBLN2,5.8538927322363925,1.8574043036775827,3.855648517956988,3.99648842855881,0.16150453845812374,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,3.99648842855881,up_in_disease
ENSG00000134115,CNTN6,4.523784337919213,0.8436115965257045,2.6836979672224586,3.680172741393508,0.002582257400869157,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,3.680172741393508,up_in_disease
ENSG00000106153,CHCHD2,6.525853379702934,3.3721175837965056,4.94898548174972,3.153735795906428,0.28537785154018075,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6755279682558732,3.153735795906428,up_in_disease
ENSG00000234444,ZNF736,3.4840720650827666,0.9670716048710198,2.225571834976893,2.517000460211747,0.21800795502916973,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,2.517000460211747,up_in_disease
ENSG00000263711,AC079062.1,4.234179566434354,1.7381696147520609,2.986174590593208,2.496009951682293,0.2193772758834171,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,2.496009951682293,up_in_disease
ENSG00000130234,ACE2,5.759135529484243,3.409058027436574,4.584096778460408,2.350077502047669,0.2469456969156785,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6720909776294277,2.350077502047669,up_in_disease
ENSG00000171885,AQP4,3.773224215723399,1.4440028650517178,2.6086135403875588,2.3292213506716815,0.1861927748385539,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,2.3292213506716815,up_in_disease
ENSG00000166183,ASPG,4.742351248324866,2.5563286491981683,3.649339948761517,2.1860225991266975,0.23852921780949798,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,2.1860225991266975,up_in_disease
ENSG00000127399,LRRC61,2.185618367484793,0.014043529266623202,1.0998309483757083,2.17157483821817,0.2269433599626238,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,2.17157483821817,up_in_disease
ENSG00000142910,TINAGL1,5.900045656010345,3.8400715309282396,4.870058593469293,2.0599741250821055,0.24515722959040073,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6717575120809024,2.0599741250821055,up_in_disease
ENSG00000145681,HAPLN1,5.509209477669356,3.470923063354809,4.490066270512082,2.038286414314547,0.2529569650221443,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.672632015614057,2.038286414314547,up_in_disease
ENSG00000278032,LY6E,5.478318623078718,3.474967653084894,4.476643138081807,2.003350969993824,0.40961147205931414,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.7118348749103054,2.003350969993824,up_in_disease
ENSG00000111305,GSG1,2.517792752928989,0.5621729153430306,1.53998283413601,1.9556198375859584,0.290017200876033,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6781786942378242,1.9556198375859584,up_in_disease
ENSG00000144619,CNTN4,3.1881849351983242,1.2415704311939402,2.214877683196132,1.946614504004384,0.015012534514829114,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,1.946614504004384,up_in_disease
ENSG00000107738,VSIR,3.9461695846238474,2.0072089864553004,2.976689285539574,1.938960598168547,0.22221817911321112,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,1.938960598168547,up_in_disease
ENSG00000111799,COL12A1,6.462550368282645,4.53438256369267,5.498466465987657,1.9281678045899744,0.10407682394038778,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,1.9281678045899744,up_in_disease
ENSG00000168702,LRP1B,2.633152794480242,0.7147174058790835,1.6739351001796627,1.9184353886011585,0.17423943093377625,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,1.9184353886011585,up_in_disease
ENSG00000180543,TSPYL5,4.335025183839991,2.4397445818790753,3.3873848828595334,1.8952806019609159,0.22080570428568688,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,1.8952806019609159,up_in_disease
ENSG00000170893,TRH,3.602101582324961,7.857118252483144,5.729609917404052,-4.2550166701581835,0.10516427784196848,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,4.2550166701581835,down_in_disease
ENSG00000184845,DRD1,0.6840773964798923,4.2855920416324365,2.4848347190561646,-3.601514645152544,0.09814834136530329,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,3.601514645152544,down_in_disease
ENSG00000120057,SFRP5,1.5656504121327195,4.765723776333204,3.1656870942329625,-3.2000733642004846,0.0974391516361719,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,3.2000733642004846,down_in_disease
ENSG00000006283,CACNA1G,2.5395843981197346,5.5265790848436716,4.033081741481703,-2.986994686723937,0.12173100995317976,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,2.986994686723937,down_in_disease
ENSG00000164651,SP8,0.07317214625900344,2.9160628558621213,1.4946175010605625,-2.8428907096031177,0.10756700587607076,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,2.8428907096031177,down_in_disease
ENSG00000187955,COL14A1,1.7155410335089705,4.423744862211436,3.069642947860203,-2.708203828702465,0.14455955561133355,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,2.708203828702465,down_in_disease
ENSG00000164270,HTR4,0.538282820184052,3.2154170521205203,1.8768499361522861,-2.6771342319364684,0.1785424585607884,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,2.6771342319364684,down_in_disease
ENSG00000073670,ADAM11,4.0413106163779515,6.653917387588712,5.347614001983332,-2.6126067712107606,0.1695191170502029,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,2.6126067712107606,down_in_disease
ENSG00000235535,TRDN-AS1,1.3911861845248694,3.964277101678998,2.6777316431019336,-2.5730909171541287,0.19874532798579272,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,2.5730909171541287,down_in_disease
ENSG00000145864,GABRB2,1.8491202763857668,4.384365859103647,3.116743067744707,-2.53524558271788,0.10710405596908837,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,2.53524558271788,down_in_disease
ENSG00000113430,IRX4,4.705250980982467,7.234071105672133,5.9696610433273,-2.528820124689666,0.1575192628499944,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,2.528820124689666,down_in_disease
ENSG00000221866,PLXNA4,5.207823647031819,7.688950693403467,6.448387170217643,-2.4811270463716486,0.2333928666673499,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,2.4811270463716486,down_in_disease
ENSG00000265107,GJA5,2.980961229943301,5.413732480140055,4.197346855041679,-2.432771250196754,0.17448115891803737,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,2.432771250196754,down_in_disease
ENSG00000145244,CORIN,6.339300279812993,8.758534389736793,7.548917334774893,-2.4192341099238,0.15096974231579588,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6709870961276817,2.4192341099238,down_in_disease
